id,libdep,circo,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,actemp,actcho,inactret,age_moyen,libelle_commune,total_voix_par_ville,catégorie,nom,voix,pourcentage_voix,code_insee,insecurite,taux_chomage_moyen
390,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,ARTHAUD,14,0.7291666666666666,02028,0.0,10.375
391,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,ROUSSEL,60,3.125,02028,0.0,10.375
392,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,MACRON,291,15.156249999999998,02028,0.0,10.375
393,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,LASSALLE,27,1.40625,02028,0.0,10.375
394,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,LE PEN,603,31.406250000000004,02028,0.0,10.375
395,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,ZEMMOUR,72,3.75,02028,0.0,10.375
396,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,MÉLENCHON,206,10.729166666666666,02028,0.0,10.375
397,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,HIDALGO,17,0.8854166666666666,02028,0.0,10.375
398,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,JADOT,41,2.1354166666666665,02028,0.0,10.375
399,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,PÉCRESSE,43,2.2395833333333335,02028,0.0,10.375
